subject;chr;start;end;start_cm;end_cm;length_cm;length;Nm;Nf;male_meiosis;mutation
first_cousins1_g4-b1-i1;1;241631049;249170711;248.329567;261.713366;13.383799;7539662;2;4;1;1
first_cousins1_g4-b1-i1;2;65082549;75321601;81.08037;93.627063;12.546692;10239052;2;4;1;1
first_cousins1_g4-b1-i1;2;96379179;154003509;105.015486;152.818492;47.803007;57624330;2;4;1;0
first_cousins1_g4-b1-i1;2;164466056;212217485;160.139957;198.926644;38.786687;47751429;2;4;1;1
first_cousins1_g4-b1-i1;2;230395772;243043959;224.342164;248.706832;24.364668;12648187;2;4;1;0
first_cousins1_g4-b1-i1;5;9536803;10308560;22.610348;24.887355;2.277007;771757;2;4;-1;0
first_cousins1_g4-b1-i1;5;56955772;60315154;67.254666;69.345063;2.090396;3359382;2;4;-1;0
first_cousins1_g4-b1-i1;5;97463518;103578729;102.92065;105.721011;2.800361;6115211;2;4;-1;1
first_cousins1_g4-b1-i1;5;110836230;124931128;111.495974;124.072354;12.57638;14094898;2;4;-1;0
first_cousins1_g4-b1-i1;11;241489;19596394;0;32.057621;32.057621;19354905;2;4;1;0
first_cousins1_g4-b1-i1;11;69580311;78824209;73.263918;82.769508;9.50559;9243898;2;4;-1;1
first_cousins1_g4-b1-i1;13;101814295;104095331;94.76385;97.913729;3.14988;2281036;2;4;1;0
first_cousins1_g4-b1-i1;15;92922258;94577486;89.534426;94.87459;5.340164;1655228;2;4;-1;0
first_cousins1_g4-b1-i1;20;55671137;59558415;86.761704;98.09821;11.336506;3887278;2;4;1;0
first_cousins1_g4-b1-i1;21;28095728;32298308;23.063367;28.483745;5.420378;4202580;2;4;-1;0
first_cousins2_g4-b1-i1;3;4386551;9971455;11.420074;25.756981;14.336908;5584904;4;2;1;0
first_cousins2_g4-b1-i1;3;64279410;69268250;85.390697;91.700269;6.309572;4988840;4;2;-1;0
first_cousins2_g4-b1-i1;5;29915789;39539119;45.013704;59.214041;14.200337;9623330;4;2;-1;0
first_cousins2_g4-b1-i1;5;53522034;56651049;63.020219;66.783577;3.763358;3129015;4;2;-1;0
first_cousins2_g4-b1-i1;6;3951645;14007790;10.828986;30.250899;19.421913;10056145;4;2;-1;0
first_cousins2_g4-b1-i1;9;1383854;14542005;2.983426;30.314636;27.33121;13158151;4;2;1;0
first_cousins2_g4-b1-i1;9;121841668;133766396;120.627217;134.723047;14.09583;11924728;4;2;1;1
first_cousins2_g4-b1-i1;9;136515064;138036188;140.797317;147.070174;6.272856;1521124;4;2;1;0
first_cousins2_g4-b1-i1;13;101763113;108332165;94.6331;109.173666;14.540566;6569052;4;2;1;1
first_cousins2_g4-b1-i1;14;102234328;107285437;110.353233;115.922228;5.568995;5051109;4;2;1;1
first_cousins2_g4-b1-i1;16;59079447;60077006;74.357382;75.299287;0.941905;997559;4;2;-1;1
first_cousins2_g4-b1-i1;16;87647839;90141355;121.328834;125.070992;3.742157;2493516;4;2;1;0
first_cousins2_g4-b1-i1;20;69094;894242;0;3.472081;3.472081;825148;4;2;1;0
first_cousins2_g4-b1-i1;20;3299349;31896830;9.658969;51.52175;41.862781;28597481;4;2;-1;2
first_cousins3_g4-b1-i1;1;752721;12653951;0;23.287196;23.287196;11901230;3;3;1;1
